lon,lat,SA code
-6.212843833742647,54.629556271222526,N00000002
-6.341943700498941,54.62246617070663,N00000004
-6.225931421547941,54.68602917566638,N00000007
-6.186306149187167,54.688653839562804,N00000008
-6.1603865308961225,54.68287467633913,N00000009
-6.278190235686841,54.67371190722523,N00000005
-6.218374262138736,54.6550374661707,N00000001
-6.2403867146132574,54.706202193365556,N00000011
-6.219317761236038,54.70536516138141,N00000012
-6.220657130011167,54.71120386971638,N00000013
-6.216767029410671,54.70867800909831,N00000014
-6.226708925737891,54.7099117302699,N00000015
-6.222524963278264,54.70767970411537,N00000016
-6.189062792370767,54.707843869410674,N00000017
-6.188394806863603,54.70565142088351,N00000018
-6.18400582795126,54.70863742035143,N00000019
-6.185327190412652,54.706532749501804,N00000020
-6.178151880645398,54.70576548820202,N00000021
-6.1806565091391725,54.705397867411435,N00000022
-6.183624785275676,54.70507850821999,N00000023
-6.122831991755889,54.66225623904704,N00000024
-6.098996439644333,54.63938974728489,N00000025
-6.145673725123748,54.638815168494595,N00000026
-6.1835499896578225,54.61757130752779,N00000027
-6.20549351084385,54.620863356105026,N00000028
-6.082072128984487,54.67816616647105,N00000029
-6.041348608479626,54.64110896663517,N00000030
-6.352991637426655,54.69607098869481,N00000031
-6.333023464843719,54.73646302721177,N00000032
-6.376315162248647,54.7373227405057,N00000033
-6.3461979514184215,54.750035233219315,N00000034
-6.328267468673731,54.74795908057249,N00000035
-6.330073708557985,54.746404327034746,N00000036
-6.215403316538792,54.617601008366265,N00000040
-6.219862069246799,54.61686305519455,N00000037
-6.206027078950086,54.61782892567979,N00000041
-6.245345280151456,54.604990791480986,N00000038
-6.2090628191230905,54.61747303685172,N00000042
-6.2271565889105425,54.61740115904059,N00000039
-6.235176148395208,54.62239571289635,N00000043
-6.212963554525896,54.617555649891635,N00000044
-6.37442009798534,54.76397994001909,N00000045
-6.348878873569542,54.78288639102519,N00000046
-6.325680686514844,54.77229951984598,N00000047
-6.320284270914379,54.758534573910055,N00000048
-6.323702547655839,54.75739896424188,N00000049
-6.325763614341964,54.7534266348182,N00000050
-6.1861693846233505,54.7204234070268,N00000051
-6.179196287255562,54.72442522953407,N00000052
-6.183487365261791,54.7145413036848,N00000053
-6.176911503895333,54.71174262272904,N00000054
-6.173030913754509,54.7146225227897,N00000055
-6.178960752349791,54.70889487360018,N00000056
-6.203044557640763,54.71749871190066,N00000057
-6.202054079514576,54.71634506176872,N00000058
-6.204788011288481,54.718117875188064,N00000059
-6.2074834232095695,54.715265902654366,N00000060
-6.202781492170653,54.713221962438446,N00000061
-6.199310164446177,54.709850350885205,N00000062
-6.208130655135803,54.71906693230086,N00000063
-6.1869941553751895,54.71334290528037,N00000064
-6.192233911116329,54.71138232815235,N00000065
-6.195532318841699,54.71112911507627,N00000066
-6.1846243739061775,54.71175208423638,N00000067
-6.193114363421763,54.70778816087288,N00000068
-6.187156500840165,54.71023613658435,N00000069
-6.230710780000719,54.734472808086224,N00000074
-6.228332562468162,54.72214714288043,N00000075
-6.219131958785594,54.72453240698795,N00000076
-6.220070842653766,54.72087772412247,N00000077
-6.22411207308865,54.72025169265082,N00000070
-6.216515120865979,54.71631457373655,N00000071
-6.20504516788222,54.70624643210251,N00000072
-6.2154825555451385,54.713004947540824,N00000073
-6.225026319316723,54.73198155627235,N00000078
-6.124418002412647,54.74831566886265,N00000079
-6.082638248190961,54.72768389792774,N00000080
-6.095234322626005,54.720793036650775,N00000081
-6.137720633634546,54.72444126276311,N00000082
-6.140936560639692,54.78679381223511,N00000083
-6.0890897806440005,54.76072017428852,N00000084
-6.320428519441952,54.752412819704624,N00000088
-6.301765711541479,54.752592087975074,N00000089
-6.310904950830432,54.74979590821096,N00000090
-6.321676671629859,54.74593231074828,N00000085
-6.31417549353382,54.7562565047067,N00000091
-6.314361924365893,54.74570432592525,N00000086
-6.2801190273022005,54.728528226906775,N00000087
-6.197121724670652,54.78424866998319,N00000092
-6.253205723235538,54.75711151802474,N00000093
-6.25977594426877,54.77423670322977,N00000094
-6.2963851011166545,54.77381773364026,N00000095
-6.203253965525684,54.75610356079598,N00000096
-6.219593526281382,54.7329197716852,N00000101
-6.217349319383269,54.73068277998019,N00000102
-6.217053542940901,54.72671262845169,N00000097
-6.205087718605466,54.73152836911106,N00000098
-6.211706998173209,54.72331320688249,N00000099
-6.216875602439656,54.720497679088034,N00000100
-6.204281998331262,54.737052248967146,N00000103
-6.222334941314912,54.73350970764209,N00000104
-6.205583832643914,54.72203532952984,N00000105
-6.202449303943919,54.721032650108384,N00000106
-6.198708896330963,54.72049618732011,N00000107
-6.205133159604001,54.72425859341287,N00000108
-6.201537360305434,54.72402708774591,N00000109
-6.198534188764632,54.72251311978373,N00000110
-6.19699561334389,54.71460282151151,N00000111
-6.197045169556922,54.716791485353795,N00000112
-6.191839051495742,54.71584848033308,N00000113
-6.192480006511498,54.713892133417666,N00000114
-6.191141694435657,54.71899178784457,N00000115
-6.1957501202749325,54.71989513377236,N00000116
-6.193871157831999,54.718225311026394,N00000117
-6.094916118704516,54.70686291838833,N00000118
-6.08833973194507,54.7002756950509,N00000119
-6.064298905188801,54.707441392836884,N00000120
-6.103457917234374,54.698135034453564,N00000121
-6.128727185995179,54.69858289808326,N00000122
-6.0968014652573785,54.69589260629899,N00000123
-6.158422780309762,54.70434465622844,N00000124
-6.4210164860118395,54.766211518912336,N00000125
-6.453798699443094,54.76939971054482,N00000126
-6.42804904167015,54.74112281504508,N00000127
-6.440967952034528,54.70504212351956,N00000128
-6.465235829670145,54.74992406345756,N00000129
-5.782088292423775,54.501494961240965,N00000130
-5.813454162034804,54.50117353194489,N00000131
-5.783428426588745,54.479121908384606,N00000132
-5.791372946148939,54.50547313742667,N00000134
-5.787494197939018,54.5095334973669,N00000135
-5.795213378450751,54.50077197005649,N00000136
-5.79564312909033,54.50298714392804,N00000137
-5.784711463430626,54.49308980040621,N00000133
-5.7993769662384445,54.50061780257072,N00000138
-5.713768474920116,54.58289632937337,N00000139
-5.723850488679389,54.58377236107926,N00000140
-5.707470932846009,54.58915254580727,N00000141
-5.70940407013685,54.58795896390302,N00000142
-5.701863044388374,54.58711988834051,N00000143
-5.7031041127544135,54.58576307328707,N00000144
-5.71067354883961,54.586207640024135,N00000145
-5.750355352793936,54.58176888706543,N00000146
-5.705859854202043,54.589423026795394,N00000147
-5.563964375936097,54.53481160830083,N00000153
-5.561205806184793,54.537184908388596,N00000154
-5.540142439215548,54.53757164793734,N00000155
-5.574167217420025,54.538598780079276,N00000156
-5.523343361554575,54.517175039961295,N00000157
-5.486265974421843,54.510534896191004,N00000158
-5.49774879498343,54.53873793958753,N00000148
-5.501648695975337,54.54525669970806,N00000149
-5.493903552241282,54.54720097339171,N00000150
-5.4848048483483485,54.54420098297737,N00000151
-5.490842746427901,54.543065977911496,N00000152
-5.7086591775042885,54.59211293037749,N00000159
-5.71112157077499,54.59388949355518,N00000160
-5.744674452189312,54.61277198186944,N00000164
-5.719866579440695,54.59369326862996,N00000161
-5.736889916757737,54.59872182253088,N00000165
-5.709770388652858,54.60269056615561,N00000166
-5.704958242423468,54.59973709945674,N00000162
-5.719772587601268,54.60215286740151,N00000167
-5.709264252958245,54.598188450775496,N00000168
-5.704304400608501,54.595998022108034,N00000163
-5.5473580558216575,54.58888207791807,N00000172
-5.613934004871976,54.572800620481836,N00000169
-5.50798340595371,54.56322815717217,N00000173
-5.554051619777737,54.578643209750425,N00000174
-5.567709771361053,54.57357717349039,N00000170
-5.546476791809426,54.56981545884324,N00000175
-5.56743479297298,54.55387387486089,N00000171
-5.702404984697672,54.58995781721131,N00000176
-5.691044126221833,54.58422196703534,N00000177
-5.691450673653243,54.595166013487656,N00000178
-5.698637654448472,54.59352440664534,N00000179
-5.687762838582441,54.59193732149354,N00000180
-5.690714787191834,54.59269695705395,N00000181
-5.736135595609677,54.55155712328111,N00000182
-5.750963078056866,54.55063996967588,N00000183
-5.745258099221253,54.55023979737085,N00000184
-5.737329165571531,54.54866407569481,N00000188
-5.747882824584143,54.547961431773295,N00000185
-5.714440160256029,54.54990952698095,N00000189
-5.7414375389309695,54.54806135737861,N00000186
-5.729899422229968,54.55461671410036,N00000190
-5.732933189619217,54.55337840259987,N00000191
-5.730517316928736,54.5496325598588,N00000187
-5.7363776415415995,54.555618397031154,N00000192
-5.742823051539425,54.554839796774985,N00000193
-5.732455086671868,54.55613617920099,N00000197
-5.736795002264884,54.55394932604993,N00000194
-5.739921917946367,54.55268813132492,N00000195
-5.739525194591512,54.554689411216096,N00000196
-5.733776217904588,54.564983057717804,N00000198
-5.7486416553216255,54.56148390437416,N00000199
-5.734950249493137,54.55713522554526,N00000200
-5.780720441382357,54.55188368892437,N00000205
-5.756473921201415,54.554167962946906,N00000201
-5.753960202442688,54.54925118076481,N00000206
-5.764355790857868,54.55242669887894,N00000202
-5.757891688387315,54.55044631732612,N00000207
-5.762480864358782,54.54923485107729,N00000208
-5.76010944648518,54.546103990753885,N00000209
-5.777922026720449,54.561824001427276,N00000203
-5.748323673745145,54.55384608449178,N00000204
-5.535385550645031,54.64086180638847,N00000210
-5.548955491293929,54.642447697309244,N00000211
-5.537569174837708,54.642237462857075,N00000212
-5.5739240218166985,54.65004870169335,N00000215
-5.600468127988107,54.63625187400154,N00000216
-5.539650024875435,54.670662665295104,N00000217
-5.552905723631877,54.65063670817942,N00000218
-5.54413915268873,54.644267046873495,N00000213
-5.544353184538857,54.64636132782834,N00000214
-5.533815949624511,54.63976323203305,N00000224
-5.530893425721918,54.6390950793403,N00000225
-5.547776053998858,54.6388078426437,N00000219
-5.543375727782279,54.638531163036276,N00000220
-5.531455681554,54.63635676878103,N00000226
-5.545871526821901,54.63738644493234,N00000221
-5.536346858093591,54.63748539030039,N00000227
-5.541069961592234,54.63675051024561,N00000228
-5.535755977869362,54.63492356880288,N00000229
-5.554056263320079,54.63353321849454,N00000222
-5.540640025520555,54.63363557979765,N00000223
-5.6981746500005865,54.603854548821644,N00000235
-5.69466478313991,54.60300898094853,N00000236
-5.700957942779953,54.601447727301604,N00000230
-5.699859100406942,54.600814602770676,N00000231
-5.6967950732135275,54.599093227048144,N00000232
-5.700577102641161,54.59843065917634,N00000233
-5.697228086102647,54.59662143898685,N00000234
-5.708118368858686,54.616301167901234,N00000237
-5.714431489316246,54.60962911807491,N00000238
-5.678532874900356,54.59276219959388,N00000248
-5.681505016007143,54.592462898612574,N00000243
-5.675059507111998,54.59332190360542,N00000249
-5.68425300727885,54.592137107632794,N00000244
-5.670102085621482,54.590366019894034,N00000239
-5.673106634420588,54.58989120974036,N00000250
-5.682656943486188,54.59048193918669,N00000245
-5.685844016452238,54.590974304674226,N00000246
-5.677214868412716,54.588772207115554,N00000247
-5.667125906750944,54.588291280009074,N00000240
-5.676230192212298,54.58483748454074,N00000241
-5.664340675545237,54.58122589875876,N00000242
-5.670530338046203,54.59382027028555,N00000251
-5.666663869477487,54.505894513745226,N00000252
-5.740387745526104,54.491533909488865,N00000253
-5.704396761919601,54.486690321208,N00000254
-5.663720053560783,54.480834693437636,N00000256
-5.684356461848357,54.473103325897405,N00000257
-5.680432120430828,54.46250292809234,N00000258
-5.727821827260191,54.46660818722996,N00000255
-5.545977276600059,54.42190804609251,N00000259
-5.49445334972703,54.433769085694884,N00000260
-5.499295860788134,54.416794154042094,N00000261
-5.527179653219118,54.49385141814011,N00000263
-5.514615119510972,54.482752970518256,N00000264
-5.537561764473942,54.4865260774497,N00000265
-5.530145236341368,54.48509165621686,N00000266
-5.51816420061846,54.46190347736523,N00000262
-5.755269294388677,54.53489469631573,N00000267
-5.728991789998105,54.519372175507144,N00000271
-5.698445842147228,54.506191422751996,N00000272
-5.739194592761179,54.53745944839065,N00000273
-5.775065076149545,54.53196972462582,N00000268
-5.705274104083261,54.523424866235395,N00000274
-5.8016803268097386,54.52815566927992,N00000269
-5.7624858527804275,54.510239002978075,N00000270
-5.61740454912199,54.602145457888156,N00000281
-5.648228658102769,54.6108947435348,N00000282
-5.664492730161965,54.59902499804975,N00000275
-5.659127949392915,54.60099983680848,N00000276
-5.666453085713327,54.59878975228413,N00000277
-5.662355934940672,54.59802352355263,N00000278
-5.6561751022019555,54.59152879463011,N00000283
-5.666697078295319,54.59473151411085,N00000279
-5.6617705170325525,54.59422441903761,N00000284
-5.666618143868539,54.59184264870218,N00000280
-5.664014831705715,54.592537096695004,N00000285
-5.547498106935779,54.60926692841269,N00000291
-5.52652668947191,54.60342459789303,N00000286
-5.547618217652741,54.62021568918974,N00000292
-5.529493276333193,54.60666794165111,N00000287
-5.538112425721242,54.60089936387129,N00000288
-5.535273797246994,54.605942333039685,N00000289
-5.5322933529819,54.605894050310475,N00000290
-5.538380169693015,54.63148079250324,N00000293
-5.579202840097586,54.614765626200985,N00000294
-5.534797437642828,54.62623240706432,N00000295
-5.6673339920716215,54.605035483557394,N00000301
-5.673623006359649,54.60289189084329,N00000302
-5.671634371757773,54.60235216616066,N00000303
-5.676977837399117,54.60090162755501,N00000296
-5.668191186460221,54.60098045446492,N00000304
-5.67053612122076,54.599696186725815,N00000306
-5.678106249827506,54.59607396317474,N00000297
-5.671459484396993,54.5979239740506,N00000307
-5.676655542043562,54.59826221003802,N00000298
-5.672947024828628,54.59663560255394,N00000308
-5.682404957817679,54.597252296428444,N00000299
-5.668975567559229,54.597000717691394,N00000309
-5.684561074869585,54.593985242167186,N00000300
-5.674057830469815,54.6049963168998,N00000305
-5.512160975188089,54.36298516403709,N00000310
-5.5543702758282265,54.38926549619103,N00000311
-5.494998611516637,54.39337941685649,N00000312
-5.539328399628104,54.39624929748387,N00000313
-5.5416709121956265,54.38261143394741,N00000314
-5.5467216473301795,54.382977277715526,N00000315
-5.539509121553203,54.3787487028786,N00000316
-5.542702808381101,54.37535120870588,N00000317
-5.450719488074105,54.4740624826478,N00000318
-5.440643371787001,54.46150732009411,N00000319
-5.482821722424014,54.47394493179806,N00000323
-5.458228842581468,54.45577063771301,N00000320
-5.446589145750712,54.457848146006974,N00000321
-5.48018098543987,54.44621747924291,N00000324
-5.462349144767657,54.442759344671764,N00000325
-5.456029173653387,54.48803054353376,N00000326
-5.441618967227712,54.46726841636822,N00000322
-5.7012164638553635,54.582816773918516,N00000331
-5.705944840685243,54.58036109130811,N00000332
-5.703201524070466,54.57912368381596,N00000333
-5.707970560958455,54.58242661248163,N00000334
-5.706524344462448,54.5783502467378,N00000327
-5.69967396016992,54.57907885273121,N00000328
-5.702488478947743,54.57662413608981,N00000329
-5.710681615677676,54.56726380931674,N00000330
-5.688718170769509,54.596727486872105,N00000335
-5.684245504062805,54.6136189918274,N00000340
-5.677904475181135,54.608709771549385,N00000341
